CustomerID,Email,Segment,Subsegment,Status
12347,davidtgondo@gmail.com,Test,"Risk, Medium CLV",active
12348,d.gondo@alustudent.com,Test,"Risk, Low CLV",active
12352,jwright@example.net,Risk,"Risk, Medium CLV",active
12356,thompsonkenneth@example.net,Risk,"Risk, Low CLV",active
12358,suttonrichard@example.org,Risk,"Risk, Medium CLV",active
12359,wattsmichael@example.org,Risk,"Risk, High CLV",active
12360,uorr@example.org,Risk,"Risk, High CLV",active
12362,tyrone29@example.org,Risk,"Risk, High CLV",active
12363,lisa97@example.org,High Value,"High Value, Low CLV",active
12364,elizabethmartinez@example.net,High Value,"High Value, High CLV",active
12370,kristymeadows@example.net,Risk,"Risk, Medium CLV",active
12372,amanda34@example.net,Risk,"Risk, Medium CLV",active
12375,daniel31@example.com,High Value,"High Value, Medium CLV",active
12377,whitenancy@example.net,Risk,"Risk, Low CLV",active
12379,ogutierrez@example.org,High Value,"High Value, Medium CLV",active
12380,cindy16@example.net,Risk,"Risk, High CLV",active
12381,jacobsjustin@example.org,High Value,"High Value, Medium CLV",active
12383,maxwellamy@example.org,Risk,"Risk, Low CLV",active
12384,lthompson@example.com,High Value,"High Value, Medium CLV",active
12386,zwhite@example.com,Risk,"Risk, Low CLV",active
12388,marshandrea@example.com,Risk,"Risk, High CLV",active
12393,jasoncampbell@example.org,Nurture,"Nurture, Medium CLV",active
12394,nicholas58@example.org,Risk,"Risk, Medium CLV",active
12395,amandaroberts@example.org,Risk,"Risk, Medium CLV",active
12397,goodmanjason@example.com,Risk,"Risk, High CLV",active
12399,williamscourtney@example.org,Nurture,"Nurture, Medium CLV",active
12406,wward@example.net,Risk,"Risk, High CLV",active
12407,mmccann@example.net,Nurture,"Nurture, Medium CLV",active
12408,angel03@example.net,Risk,"Risk, High CLV",active
12409,awilliams@example.net,Risk,"Risk, High CLV",active
12412,lawsonsamantha@example.net,High Value,"High Value, Medium CLV",active
12413,abrown@example.com,Nurture,"Nurture, Low CLV",active
12414,lcoleman@example.com,High Value,"High Value, Low CLV",active
12415,lisa06@example.org,Risk,"Risk, High CLV",active
12417,karenperez@example.org,Risk,"Risk, Medium CLV",active
12421,peggy61@example.com,Risk,"Risk, Low CLV",active
12422,josephwillis@example.com,Nurture,"Nurture, Low CLV",active
12423,fernandezchristopher@example.com,Risk,"Risk, Low CLV",active
12427,rachel60@example.net,Risk,"Risk, Low CLV",active
12428,jack33@example.org,Risk,"Risk, High CLV",active
12429,debracannon@example.net,Risk,"Risk, Medium CLV",active
12431,hsmith@example.com,Risk,"Risk, High CLV",active
12432,parsonsgarrett@example.com,Risk,"Risk, High CLV",active
12433,strongscott@example.org,Risk,"Risk, High CLV",active
12434,acuevas@example.org,Risk,"Risk, Low CLV",active
12435,michele43@example.org,Risk,"Risk, High CLV",active
12437,omiller@example.com,Risk,"Risk, High CLV",active
12438,wdiaz@example.org,Risk,"Risk, High CLV",active
12444,patricia17@example.org,Risk,"Risk, High CLV",active
12449,katherinefrancis@example.net,Risk,"Risk, High CLV",active
12450,kristymonroe@example.net,High Value,"High Value, Low CLV",active
12451,andreagonzalez@example.org,Risk,"Risk, High CLV",active
12455,karenadams@example.net,Nurture,"Nurture, Medium CLV",active
12456,uhurst@example.net,Risk,"Risk, High CLV",active
12457,johnnyreed@example.org,Risk,"Risk, High CLV",active
12458,kevin02@example.com,Risk,"Risk, Low CLV",active
12462,proth@example.org,Nurture,"Nurture, Low CLV",active
12463,iblevins@example.com,Nurture,"Nurture, Medium CLV",active
12464,robertbarker@example.com,Risk,"Risk, Medium CLV",active
12465,victoria42@example.net,High Value,"High Value, Medium CLV",active
12468,jacksonpatricia@example.org,Risk,"Risk, Low CLV",active
12471,sweber@example.net,Risk,"Risk, High CLV",active
12472,buchanancheryl@example.com,Risk,"Risk, High CLV",active
12473,robinsoncharles@example.net,Risk,"Risk, High CLV",active
12474,joseph03@example.com,Risk,"Risk, High CLV",active
12476,marycrosby@example.net,Risk,"Risk, High CLV",active
12477,upalmer@example.org,Risk,"Risk, High CLV",active
12480,brookscody@example.net,Risk,"Risk, High CLV",active
12481,johnburch@example.org,Risk,"Risk, High CLV",active
12483,williamscarrie@example.com,Risk,"Risk, Medium CLV",active
12484,robertdiaz@example.net,Risk,"Risk, High CLV",active
12488,pattersonjeffrey@example.org,High Value,"High Value, High CLV",active
12490,josephcarey@example.com,Risk,"Risk, High CLV",active
12492,andersonnicholas@example.net,High Value,"High Value, Medium CLV",active
12493,henryadrienne@example.net,High Value,"High Value, Low CLV",active
12494,jillhogan@example.org,Risk,"Risk, Low CLV",active
12498,edwardoneill@example.com,High Value,"High Value, Medium CLV",active
12500,zjohnson@example.org,Risk,"Risk, High CLV",active
12502,leejoshua@example.net,Risk,"Risk, High CLV",active
12504,nicholstimothy@example.org,High Value,"High Value, Medium CLV",active
12507,ramirezjoseph@example.net,Nurture,"Nurture, Medium CLV",active
12508,changjames@example.org,High Value,"High Value, High CLV",active
12510,ethan48@example.net,Nurture,"Nurture, Low CLV",active
12516,rknapp@example.com,Risk,"Risk, Medium CLV",active
12517,mercadodebra@example.com,Risk,"Risk, High CLV",active
12518,jessica07@example.net,Nurture,"Nurture, High CLV",active
12520,brooke74@example.com,Nurture,"Nurture, High CLV",active
12522,davidtaylor@example.com,High Value,"High Value, Medium CLV",active
12523,rachelfox@example.net,Risk,"Risk, Medium CLV",active
12524,bradley27@example.net,Risk,"Risk, High CLV",active
12526,russelllaura@example.org,High Value,"High Value, High CLV",active
12527,karenwatson@example.org,Nurture,"Nurture, Low CLV",active
12528,ncosta@example.org,Risk,"Risk, Medium CLV",active
12530,ghall@example.com,Nurture,"Nurture, Medium CLV",active
12535,tina54@example.net,High Value,"High Value, Medium CLV",active
12539,valdezjames@example.com,Risk,"Risk, High CLV",active
12540,xshelton@example.com,Risk,"Risk, High CLV",active
12541,nicolemoran@example.org,Nurture,"Nurture, Medium CLV",active
12545,danielsralph@example.com,Nurture,"Nurture, Low CLV",active
12546,paynetiffany@example.com,High Value,"High Value, Medium CLV",active
12547,paulmelendez@example.net,High Value,"High Value, Low CLV",active
12553,wgordon@example.org,Risk,"Risk, High CLV",active
12556,robert65@example.net,High Value,"High Value, Medium CLV",active
12557,christina93@example.org,Risk,"Risk, High CLV",active
12559,navarrodarrell@example.org,High Value,"High Value, Low CLV",active
12560,tanyascott@example.net,Risk,"Risk, Medium CLV",active
12562,janemoore@example.com,Risk,"Risk, High CLV",active
12567,kristinjones@example.com,Risk,"Risk, High CLV",active
12569,brittanychavez@example.com,Risk,"Risk, High CLV",active
12571,walkeranthony@example.org,High Value,"High Value, Medium CLV",active
12572,smithjeffery@example.net,Risk,"Risk, High CLV",active
12576,nguyenjanet@example.net,Nurture,"Nurture, Medium CLV",active
12577,tinageorge@example.net,Risk,"Risk, Low CLV",active
12578,johnjohnson@example.com,Risk,"Risk, Medium CLV",active
12582,zsmith@example.net,High Value,"High Value, Low CLV",active
12583,yolsen@example.org,Risk,"Risk, High CLV",active
12584,tyronele@example.org,Risk,"Risk, High CLV",active
12585,pward@example.net,Risk,"Risk, Low CLV",active
12589,msosa@example.org,Risk,"Risk, Medium CLV",active
12592,andrew98@example.com,High Value,"High Value, Low CLV",active
12593,shepherdkyle@example.com,High Value,"High Value, Low CLV",active
12594,katherinepowell@example.org,Risk,"Risk, High CLV",active
12596,raygarcia@example.com,Nurture,"Nurture, Low CLV",active
12597,campbellbrad@example.org,Risk,"Risk, High CLV",active
12598,westchristopher@example.org,Risk,"Risk, High CLV",active
12599,andrea80@example.net,Risk,"Risk, Medium CLV",active
12600,frenchshannon@example.com,Risk,"Risk, Medium CLV",active
12601,glovervirginia@example.org,High Value,"High Value, Low CLV",active
12604,garzaamanda@example.com,Nurture,"Nurture, Low CLV",active
12609,castilloannette@example.com,Nurture,"Nurture, Medium CLV",active
12610,tyler63@example.com,Nurture,"Nurture, High CLV",active
12613,wcoleman@example.net,Risk,"Risk, High CLV",active
12615,caitlin41@example.com,Risk,"Risk, High CLV",active
12616,roylee@example.org,Risk,"Risk, Low CLV",active
12619,onelson@example.net,Risk,"Risk, High CLV",active
12620,steven61@example.org,Nurture,"Nurture, Medium CLV",active
12621,jordanshawn@example.net,Risk,"Risk, High CLV",active
12624,byrdmichael@example.com,High Value,"High Value, Medium CLV",active
12625,yhardy@example.net,Risk,"Risk, Medium CLV",active
12626,kyoung@example.com,Risk,"Risk, High CLV",active
12627,caitlin68@example.com,Risk,"Risk, High CLV",active
12628,freemanbecky@example.com,High Value,"High Value, High CLV",active
12630,wmitchell@example.net,Risk,"Risk, High CLV",active
12633,obailey@example.org,Nurture,"Nurture, Medium CLV",active
12635,kaylaware@example.com,Risk,"Risk, Medium CLV",active
12637,tanyamorris@example.com,Risk,"Risk, High CLV",active
12640,watkinsbrandon@example.net,High Value,"High Value, Medium CLV",active
12642,kellerdillon@example.com,High Value,"High Value, High CLV",active
12643,ann73@example.org,Risk,"Risk, High CLV",active
12645,kelleralexander@example.com,Risk,"Risk, Medium CLV",active
12646,emilyhopkins@example.com,Risk,"Risk, High CLV",active
12647,smithjessica@example.com,Risk,"Risk, Medium CLV",active
12649,leahparker@example.org,High Value,"High Value, Low CLV",active
12653,davenportbianca@example.org,Risk,"Risk, Medium CLV",active
12654,markjohnson@example.com,Nurture,"Nurture, Low CLV",active
12656,kevinwatts@example.net,Risk,"Risk, High CLV",active
12657,michael93@example.net,Risk,"Risk, High CLV",active
12662,denniswilliams@example.net,Risk,"Risk, Medium CLV",active
12664,michellereed@example.com,Risk,"Risk, High CLV",active
12668,janenewman@example.org,Risk,"Risk, Medium CLV",active
12669,norrisjonathan@example.com,Risk,"Risk, Low CLV",active
12670,jocelynmoreno@example.org,Risk,"Risk, High CLV",active
12673,april76@example.org,Risk,"Risk, Low CLV",active
12674,gabriellaharris@example.org,Risk,"Risk, High CLV",active
12676,lewisandrew@example.net,Risk,"Risk, Medium CLV",active
12678,mary00@example.org,Risk,"Risk, High CLV",active
12679,lberry@example.org,Nurture,"Nurture, Low CLV",active
12680,mmccormick@example.com,High Value,"High Value, High CLV",active
12681,nicholas40@example.com,Risk,"Risk, High CLV",active
12682,gjackson@example.net,Risk,"Risk, High CLV",active
12683,christinaflores@example.net,Risk,"Risk, High CLV",active
12684,alyssa15@example.org,Risk,"Risk, High CLV",active
12685,douglasbaxter@example.org,Risk,"Risk, High CLV",active
12689,justin48@example.com,Risk,"Risk, Medium CLV",active
12691,kenneth42@example.net,Risk,"Risk, Low CLV",active
12693,yroberts@example.com,Nurture,"Nurture, Low CLV",active
12694,mbutler@example.net,High Value,"High Value, Medium CLV",active
12695,rebeccabuck@example.com,Nurture,"Nurture, Medium CLV",active
12697,hopkinssandy@example.org,High Value,"High Value, Medium CLV",active
12700,hcox@example.net,Risk,"Risk, High CLV",active
12701,jacobburton@example.com,Risk,"Risk, Low CLV",active
12704,eric62@example.net,Risk,"Risk, High CLV",active
12705,timothy76@example.org,Risk,"Risk, High CLV",active
12708,peckanthony@example.net,Risk,"Risk, Medium CLV",active
12709,donaldmoore@example.com,Risk,"Risk, High CLV",active
12710,hnguyen@example.com,High Value,"High Value, Medium CLV",active
12712,maxwellshirley@example.com,Risk,"Risk, Medium CLV",active
12714,aabbott@example.org,Risk,"Risk, High CLV",active
12716,hbuckley@example.com,High Value,"High Value, Medium CLV",active
12717,omccann@example.org,High Value,"High Value, Low CLV",active
12719,jonesmichelle@example.com,High Value,"High Value, High CLV",active
12720,bryantsamuel@example.com,Risk,"Risk, High CLV",active
12721,joycestephen@example.org,Risk,"Risk, Medium CLV",active
12722,kempjacqueline@example.com,Nurture,"Nurture, Medium CLV",active
12723,qcook@example.net,High Value,"High Value, High CLV",active
12724,rebecca46@example.org,Risk,"Risk, Medium CLV",active
12726,judylucero@example.net,Risk,"Risk, Medium CLV",active
12727,nicole00@example.org,Risk,"Risk, High CLV",active
12728,masonmaria@example.net,Nurture,"Nurture, Low CLV",active
12731,vickigutierrez@example.net,Risk,"Risk, High CLV",active
12735,lisa35@example.com,Risk,"Risk, Low CLV",active
12744,kochkarl@example.com,Risk,"Risk, High CLV",active
12747,yfranklin@example.com,Risk,"Risk, Medium CLV",active
12748,joyce01@example.org,Risk,"Risk, High CLV",active
12749,william85@example.net,Risk,"Risk, High CLV",active
12753,janet77@example.org,Risk,"Risk, High CLV",active
12754,ibarker@example.net,Risk,"Risk, High CLV",active
12755,darrenlee@example.net,Risk,"Risk, Low CLV",active
12757,melissa53@example.com,Risk,"Risk, High CLV",active
12758,shannonpowell@example.org,Risk,"Risk, Medium CLV",active
12759,garnerlance@example.com,Risk,"Risk, Medium CLV",active
12762,michaelcampbell@example.org,Risk,"Risk, High CLV",active
12763,zarias@example.com,Risk,"Risk, Low CLV",active
12766,matthew19@example.com,Risk,"Risk, High CLV",active
12775,elizabeth95@example.com,Nurture,"Nurture, Medium CLV",active
12778,maldonadostephanie@example.org,Risk,"Risk, Medium CLV",active
12779,hpope@example.net,Risk,"Risk, Medium CLV",active
12781,andersonricky@example.net,Nurture,"Nurture, Low CLV",active
12782,angelica77@example.net,Risk,"Risk, Low CLV",active
12783,kelli47@example.com,Nurture,"Nurture, High CLV",active
12787,munozkatrina@example.net,Nurture,"Nurture, Medium CLV",active
12793,zcross@example.com,Risk,"Risk, Low CLV",active
12794,colindaniel@example.org,Risk,"Risk, High CLV",active
12798,kparker@example.net,Risk,"Risk, High CLV",active
12808,shelly70@example.org,Risk,"Risk, Low CLV",active
12811,katherine23@example.net,High Value,"High Value, Low CLV",active
12815,stephanie63@example.org,High Value,"High Value, Low CLV",active
12816,hickspamela@example.net,High Value,"High Value, Low CLV",active
12820,tyler69@example.org,Risk,"Risk, Medium CLV",active
12822,matthew40@example.com,High Value,"High Value, Medium CLV",active
12823,brewerjoshua@example.com,Nurture,"Nurture, Medium CLV",active
12826,simpsonkristen@example.com,Risk,"Risk, Low CLV",active
12827,glen46@example.org,High Value,"High Value, High CLV",active
12828,bcowan@example.com,High Value,"High Value, High CLV",active
12829,george90@example.org,Risk,"Risk, Low CLV",active
12830,carla75@example.org,Risk,"Risk, High CLV",active
12832,richardsonsamantha@example.org,High Value,"High Value, Medium CLV",active
12836,stanleypeters@example.net,Risk,"Risk, High CLV",active
12838,fjones@example.org,Risk,"Risk, Low CLV",active
12839,gallagherdominique@example.com,Risk,"Risk, High CLV",active
12840,nmorris@example.org,Risk,"Risk, High CLV",active
12841,swheeler@example.net,Risk,"Risk, Medium CLV",active
12842,stanleyandrew@example.com,Risk,"Risk, Medium CLV",active
12843,troy01@example.org,Risk,"Risk, High CLV",active
12844,stephaniestanley@example.com,High Value,"High Value, Medium CLV",active
12845,hayesrebecca@example.net,High Value,"High Value, Low CLV",active
12849,martinezjennifer@example.net,Nurture,"Nurture, Low CLV",active
12853,xpowell@example.com,Risk,"Risk, Medium CLV",active
12854,xgomez@example.org,Risk,"Risk, Medium CLV",active
12856,zprince@example.net,Nurture,"Nurture, High CLV",active
12857,ryanpenny@example.net,High Value,"High Value, Low CLV",active
12865,chelseyperkins@example.com,Risk,"Risk, Medium CLV",active
12867,amanda87@example.com,Risk,"Risk, Medium CLV",active
12868,blevinspeter@example.net,Risk,"Risk, Low CLV",active
12871,aford@example.org,High Value,"High Value, Low CLV",active
12872,wilkinsbarbara@example.com,Risk,"Risk, Low CLV",active
12875,opage@example.org,Risk,"Risk, Low CLV",active
12876,grantdouglas@example.org,Risk,"Risk, High CLV",active
12877,jackie36@example.com,Risk,"Risk, Low CLV",active
12878,padillajacob@example.org,Risk,"Risk, Low CLV",active
12879,navarroelizabeth@example.com,High Value,"High Value, High CLV",active
12882,lindseyhall@example.net,Risk,"Risk, High CLV",active
12883,mitchelljames@example.com,Risk,"Risk, Medium CLV",active
12885,bonnie06@example.net,Risk,"Risk, Medium CLV",active
12886,riveranicholas@example.com,Risk,"Risk, Medium CLV",active
12888,barrydouglas@example.net,High Value,"High Value, Low CLV",active
12891,nicholslinda@example.com,High Value,"High Value, Low CLV",active
12895,christopherford@example.net,High Value,"High Value, Medium CLV",active
12897,sue39@example.net,High Value,"High Value, Low CLV",active
12901,xjones@example.org,Risk,"Risk, High CLV",active
12904,phillip07@example.org,High Value,"High Value, Low CLV",active
12906,marciamyers@example.org,Risk,"Risk, High CLV",active
12908,royrussell@example.com,Risk,"Risk, Low CLV",active
12909,jacksonvictoria@example.org,Risk,"Risk, Medium CLV",active
12910,castillojennifer@example.org,Risk,"Risk, High CLV",active
12912,rhuerta@example.net,Nurture,"Nurture, High CLV",active
12913,tammyhicks@example.org,Risk,"Risk, Medium CLV",active
12915,mdominguez@example.com,Risk,"Risk, Low CLV",active
12916,ramoschristian@example.com,Risk,"Risk, High CLV",active
12919,michaelbailey@example.net,Risk,"Risk, High CLV",active
12921,codywilliams@example.com,Risk,"Risk, High CLV",active
12924,levysandy@example.com,Nurture,"Nurture, Medium CLV",active
12925,susan26@example.org,High Value,"High Value, Medium CLV",active
12928,valvarez@example.net,Risk,"Risk, Low CLV",active
12930,bishopsarah@example.com,High Value,"High Value, Low CLV",active
12931,cjohnson@example.org,Risk,"Risk, High CLV",active
12933,russellmark@example.com,Nurture,"Nurture, Low CLV",active
12935,jacksonkimberly@example.org,Risk,"Risk, High CLV",active
12936,hross@example.org,High Value,"High Value, Medium CLV",active
12937,austingay@example.com,Risk,"Risk, Medium CLV",active
12939,jacob96@example.com,Risk,"Risk, High CLV",active
12940,burkescott@example.com,Risk,"Risk, High CLV",active
12942,xconner@example.com,Risk,"Risk, Low CLV",active
12944,deborah83@example.com,Risk,"Risk, Low CLV",active
12947,rmoore@example.com,Risk,"Risk, Low CLV",active
12948,colinwatson@example.org,Risk,"Risk, High CLV",active
12949,richard47@example.org,Risk,"Risk, High CLV",active
12950,mcclainevan@example.com,Risk,"Risk, High CLV",active
12951,frazieradam@example.org,Risk,"Risk, Medium CLV",active
12952,pdecker@example.com,High Value,"High Value, High CLV",active
12955,barnettjanet@example.com,Risk,"Risk, High CLV",active
12957,ronalddavis@example.org,Risk,"Risk, High CLV",active
12962,rachelevans@example.net,High Value,"High Value, Medium CLV",active
12963,john27@example.com,Risk,"Risk, Low CLV",active
12967,debrastout@example.com,High Value,"High Value, Low CLV",active
12970,troy52@example.net,Risk,"Risk, Low CLV",active
12971,pwalters@example.net,Risk,"Risk, High CLV",active
12980,fdawson@example.org,Risk,"Risk, High CLV",active
12981,tim65@example.com,High Value,"High Value, Medium CLV",active
12985,michael15@example.net,Risk,"Risk, High CLV",active
12987,omack@example.com,High Value,"High Value, Low CLV",active
12989,katherinecox@example.org,Risk,"Risk, High CLV",active
12990,jessicacain@example.com,Nurture,"Nurture, Low CLV",active
12991,carsondawn@example.net,High Value,"High Value, Medium CLV",active
